ENC Cell,Latest Edition No.,Latest Update No.,Latest Edition Issue Date,Latest Update Issue Date
AR201010,2,20,28-05-2019,30-05-2022
AR201140,2,1,22-01-2021,23-03-2021
AR202100,2,15,07-12-2016,30-05-2022
AR202140,1,15,13-07-2012,30-05-2022
AR202150,1,14,09-11-2015,30-05-2022
AR203100,2,,01-03-2022,
AR203170,1,6,24-05-2013,26-05-2020
AR204130,1,3,15-04-2014,25-01-2021
AR204160,1,24,13-05-2014,04-04-2018
AR301150,1,9,15-06-2010,26-05-2021
AR302120,5,4,28-02-2020,25-10-2021
AR302130,1,2,11-04-2011,30-05-2022
AR302160,2,3,02-09-2019,30-05-2022
AR302170,2,,17-04-2019,
AR302180,2,,11-01-2022,
AR303110,2,,12-04-2019,
AR303120,1,,12-10-2011,
AR304180,1,6,24-10-2011,25-10-2021
AR30419A,1,2,30-09-2011,25-10-2021
AR304240,3,,18-12-2018,
AR304250,3,,24-09-2021,
AR306110,1,2,23-09-2019,25-04-2022
AR307240,1,1,26-01-2015,21-01-2022
AR401350,1,,25-03-2021,
AR401360,1,1,16-03-2021,26-10-2021
AR401370,1,,25-03-2021,
AR401380,1,,25-03-2021,
AR401390,1,,25-03-2021,
AR401400,1,,19-03-2021,
AR401410,2,,02-03-2022,
AR401420,1,1,22-03-2021,27-05-2022
AR401430,1,,28-12-2021,
AR401440,1,,28-12-2021,
AR401450,1,,13-12-2021,
AR401460,2,,12-05-2022,
AR401560,4,26,28-12-2015,25-04-2022
AR401570,3,3,25-10-2019,30-05-2022
AR401590,1,2,14-06-2010,03-12-2018
AR402490,3,3,11-12-2018,25-04-2021
AR402500,1,29,30-11-2010,01-09-2020
AR402520,4,10,31-07-2019,30-05-2022
AR402550,3,2,07-06-2019,25-10-2021
AR402560,7,3,08-05-2019,25-10-2021
AR402620,2,4,19-09-2017,24-02-2021
AR402640,2,1,19-12-2018,28-03-2019
AR402770,2,1,27-04-2015,24-06-2015
AR403560,1,8,19-04-2011,01-03-2022
AR40357A,2,5,23-12-2015,01-03-2022
AR403590,1,18,15-06-2011,01-03-2022
AR403600,1,8,17-11-2011,28-05-2019
AR403640,1,11,23-11-2011,21-01-2022
AR404520,3,1,29-06-2021,25-04-2022
AR404600,2,,02-06-2016,
AR407620,1,1,08-03-2022,25-03-2022
AR407910,1,,28-05-2018,
AR420010,7,2,18-04-2016,06-04-2022
AR420020,7,2,18-04-2016,06-04-2022
AR420030,7,2,18-04-2016,06-04-2022
AR420040,6,3,18-04-2016,06-04-2022
AR420050,5,4,18-04-2016,06-04-2022
AR420060,1,10,30-11-2015,06-04-2022
AR420070,3,1,26-01-2022,25-04-2022
AR420080,1,,16-08-2018,
AR420090,1,,23-06-2017,
AR502530,3,4,29-06-2018,30-05-2022
AR502580,2,1,15-01-2019,28-11-2020
AR502590,9,2,09-05-2019,25-10-2021
AR502630,2,1,09-06-2017,18-08-2017
AR50357B,2,3,23-12-2015,01-03-2022
AR503670,1,,15-12-2011,
AR50451B,1,1,06-12-2011,28-11-2014
AR504620,2,,13-12-2011,
AR504800,2,3,03-04-2019,02-03-2022
AR506510,1,,12-12-2017,
AR507570,2,,28-10-2020,
AR530010,5,1,17-09-2020,23-10-2020
AR530020,3,,17-09-2020,
AR530030,3,,17-09-2020,
AR530040,2,1,17-09-2020,17-06-2021
AR530050,3,,17-09-2020,
AR530060,2,,17-09-2020,
AR530070,2,,17-09-2020,
AR530080,3,,17-09-2020,
AR602510,4,11,05-12-2012,27-07-2021
BD307425,1,14,24-12-2018,30-01-2022
BD407426,1,7,29-01-2019,01-11-2021
BD407428,1,9,23-12-2018,30-01-2022
BD407429,1,7,24-12-2018,30-01-2022
BD407454,1,8,23-12-2018,30-01-2022
BD507427,1,7,23-12-2018,30-01-2022
BD507453,1,6,23-12-2018,18-10-2021
BD57451A,1,2,23-12-2018,18-05-2021
BD57451B,1,3,23-12-2018,27-01-2022
BD57452A,1,3,23-12-2018,18-05-2021
BD57452B,1,2,23-12-2018,18-05-2021
BE3VLBNK,35,11,01-09-2020,27-04-2022
BE4VLBNK,22,11,01-09-2020,27-04-2022
BE5ANTWN,31,8,14-07-2021,16-02-2022
BE5ANTWZ,18,1,13-07-2021,27-04-2022
BE5KGETE,6,10,15-01-2019,29-11-2021
BE5OOSTE,14,3,25-05-2021,18-01-2022
BE5ZEEBR,13,,18-05-2022,
BR221010,4,3,29-04-2020,02-06-2022
BR221020,6,2,16-09-2020,25-05-2021
BR221030,5,2,22-09-2020,05-07-2021
BR221040,5,3,17-09-2020,22-06-2022
BR221050,7,1,08-04-2020,22-03-2022
